nops,cycles
877,6098
878,6043
879,6065
880,6076
881,6064
882,6088
883,6128
884,6135
885,6103
886,6131
887,6164
888,6125
889,6107
890,6145
891,6124
892,6136
893,6175
894,6204
895,6229
896,6219
897,6194
898,6239
899,6275
900,6207
901,6265
902,6229
903,6268
904,6214
905,6322
906,6211
907,6169
908,6384
909,6255
910,6456
911,6245
912,6370
913,6308
914,6318
915,6296
916,6278
917,6355
918,6311
919,6347
920,6306
921,6337
922,6334
923,6309
924,6299
925,6471
926,6401
927,6417
928,6515
929,6480
930,6441
931,6573
932,6347
933,6571
934,6419
935,6495
936,6513
937,6496
938,6467
939,6460
940,6459
941,6551
942,6560
943,6541
944,6559
945,6544
946,6448
947,6594
948,6464
949,6627
950,6492
951,6578
952,6557
953,6576
954,6591
955,6573
956,6606
957,6707
958,6673
959,6694
960,6662
961,6692
962,6715
963,6684
964,6674
965,6707
966,6732
967,6734
968,6623
969,6794
970,6666
971,6675
972,6727
973,6755
974,6761
975,6762
976,6799
977,6735
978,6864
979,6711
980,6793
981,6772
982,6787
983,6750
984,6773
985,6815
986,6807
987,6698
988,6797
989,6969
990,6861
991,6893
992,6896
993,6915
994,6905
995,6901
996,6857
997,6993
998,6860
999,6945
1000,6931
1001,6942
1002,6910
1003,6949
1004,6978
1005,6882
1006,7054
1007,6991
1008,6988
1009,6986
1010,6989
1011,6992
1012,7046
1013,6888
1014,7004
1015,7016
1016,6990
1017,7008
1018,6975
1019,7044
1020,7024
1021,7130
1022,7128
1023,7120
1024,7115
1025,7248
1026,7028
1027,7130
1028,7124
1029,7136
1030,7136
1031,7144
1032,7250
1033,7048
1034,7158
1035,7167
1036,7153
1037,7189
1038,7270
1039,7092
1040,7199
1041,7215
1042,7211
1043,7224
1044,7211
1045,7165
1046,7260
1047,7251
1048,7223
1049,7214
1050,7156
1051,7271
1052,7227
1053,7356
1054,7325
1055,7337
1056,7280
1057,7435
1058,7361
1059,7366
1060,7378
1061,7333
1062,7447
1063,7346
1064,7398
1065,7369
1066,7374
1067,7286
1068,7413
1069,7392
1070,7419
1071,7424
1072,7409
1073,7517
1074,7445
1075,7437
1076,7434
1077,7432
1078,7441
1079,7491
1080,7442
1081,7419
1082,7460
1083,7341
1084,7457
1085,7588
1086,7588
1087,7597
1088,7494
1089,7582
1090,7533
1091,7590
1092,7488
1093,7717
1094,7588
1095,7609
1096,7608
1097,7507
1098,7665
1099,7580
1100,7633
1101,7625
